Opening Spread,Team 1,Team 2,Game_Time,Betting Spread
+6.5 / -6.5,MIN,NO,4:30,+7.0 / -7.0
-8.0 / +8.0,TB,DET,1:00,-9.5 / +9.5
+2.5 / -2.5,SF,ARI,4:30,+5.0 / -5.0
+2.0 / -2.0,MIA,LV,8:15,-3.0 / +3.0
-4.5 / +4.5,CHI,JAC,1:00,-7.5 / +7.5
+10.0 / -10.0,NYG,BAL,1:00,+11.0 / -11.0
+8.5 / -8.5,CIN,HOU,1:00,+8.0 / -8.0
+3.0 / -3.0,IND,PIT,1:00,-1.5 / +1.5
+11.5 / -11.5,ATL,KC,1:00,+10.5 / -10.5
-10.5 / +10.5,CLE,NYJ,1:00,-9.5 / +9.5
+2.5 / -2.5,DEN,LAC,4:05,+3.0 / -3.0
+2.5 / -2.5,CAR,WAS,4:05,+2.5 / -2.5
+2.0 / -2.0,LAR,SEA,4:25,+1.5 / -1.5
PK / PK,PHI,DAL,4:25,-2.0 / +2.0
+4.0 / -4.0,TEN,GB,8:20,+3.0 / -3.0
-4.5 / +4.5,BUF,NE,8:15,-7.0 / +7.0
