Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,PHI,15,Sun,December 20,4:05PM,1,boxscore,33,26,526,3,422,0,7.20%,-6.0
ATL,TB,15,Sun,December 20,1:00PM,1,boxscore,27,31,416,0,369,0,-5.20%,6.0
BAL,JAX,15,Sun,December 20,1:00PM,1,boxscore,40,14,409,1,267,1,10.90%,-12.5
BUF,DEN,15,Sat,December 19,4:30PM,0,boxscore,48,19,534,1,255,1,20.40%,-6.0
CAR,GB,15,Sat,December 19,8:15PM,0,boxscore,16,24,291,0,364,1,-3.70%,9.5
CHI,MIN,15,Sun,December 20,1:00PM,0,boxscore,33,27,397,1,407,1,0.50%,3.0
CIN,PIT,15,Mon,December 21,8:15PM,1,boxscore,27,17,230,0,244,3,-29.80%,14.0
CLE,NYG,15,Sun,December 20,8:20PM,0,boxscore,20,6,392,0,288,0,-3.90%,-6.5
DAL,SF,15,Sun,December 20,1:00PM,1,boxscore,41,33,291,0,458,4,-15.90%,4.0
DEN,BUF,15,Sat,December 19,4:30PM,1,boxscore,19,48,534,1,255,1,-19.40%,6.0
DET,TEN,15,Sun,December 20,1:00PM,0,boxscore,25,46,463,0,430,3,-15.40%,8.5
GB,CAR,15,Sat,December 19,8:15PM,1,boxscore,24,16,291,0,364,1,20.60%,-9.5
HOU,IND,15,Sun,December 20,1:00PM,0,boxscore,20,27,350,0,425,2,-12.70%,7.5
IND,HOU,15,Sun,December 20,1:00PM,1,boxscore,27,20,350,0,425,2,15.10%,-7.5
JAX,BAL,15,Sun,December 20,1:00PM,0,boxscore,14,40,409,1,267,1,-23.90%,12.5
KC,NO,15,Sun,December 20,4:25PM,0,boxscore,32,29,411,1,285,1,27.10%,-2.5
LAC,LV,15,Thu,December 17,8:20PM,0,boxscore,30,27,402,0,449,1,-26.80%,3.5
LAR,NYJ,15,Sun,December 20,4:05PM,1,boxscore,20,23,289,0,303,1,22.70%,-17.0
LV,LAC,15,Thu,December 17,8:20PM,1,boxscore,27,30,402,0,449,1,-8.70%,-3.5
MIA,NE,15,Sun,December 20,1:00PM,1,boxscore,22,12,383,1,303,1,13.80%,1.0
MIN,CHI,15,Sun,December 20,1:00PM,1,boxscore,27,33,397,1,407,1,-5.80%,-3.0
NE,MIA,15,Sun,December 20,1:00PM,0,boxscore,12,22,383,1,303,1,-4.90%,-1.0
NO,KC,15,Sun,December 20,4:25PM,1,boxscore,29,32,411,1,285,1,30.50%,2.5
NYG,CLE,15,Sun,December 20,8:20PM,1,boxscore,6,20,392,0,288,0,-10.80%,6.5
NYJ,LAR,15,Sun,December 20,4:05PM,0,boxscore,23,20,289,0,303,1,-37.80%,17.0
PHI,ARI,15,Sun,December 20,4:05PM,0,boxscore,26,33,526,3,422,0,-9.70%,6.0
PIT,CIN,15,Mon,December 21,8:15PM,0,boxscore,17,27,230,0,244,3,23.40%,-14.0
SEA,WAS,15,Sun,December 20,1:00PM,0,boxscore,20,15,302,1,353,2,14.80%,-6.0
SF,DAL,15,Sun,December 20,1:00PM,0,boxscore,33,41,291,0,458,4,0.10%,-4.0
TB,ATL,15,Sun,December 20,1:00PM,0,boxscore,31,27,416,0,369,0,24.80%,-6.0
TEN,DET,15,Sun,December 20,1:00PM,1,boxscore,46,25,463,0,430,3,6.80%,-8.5
WAS,SEA,15,Sun,December 20,1:00PM,1,boxscore,15,20,302,1,353,2,1.20%,6.0
