Game,Spread,EGO,Spread Target,Pick,Result
NO @ STL,NO at -14.0,NO wins by 11.72,STL (at +13.0 or better),STL,Correct
ARI @ BAL,BAL at -11.5,BAL wins by 12.42,Too Close To Call,,Incorrect
IND @ TEN,TEN at -7.5,TEN wins by 8.86,TEN (at -7.5 or better),TEN,Correct
JAC @ HOU,HOU at -10.0,HOU wins by 10.2,Too Close To Call,,Push
MIA @ NYG,NYG at -10.0,NYG wins by 8.54,MIA (at +10.0 or better),MIA,Correct
MIN @ CAR,CAR at -3.0,CAR wins by 1.45,MIN (at +3.0 or better),MIN,Correct
WAS @ BUF,BUF at -4.0,BUF wins by 7.38,BUF (at -6.0 or better),BUF,Correct
DET @ DEN,DET at -3.5,DET wins by 2.9,Too Close To Call,,Incorrect
CLE @ SF,SF at -9.5,SF wins by 8.88,Too Close To Call,,Incorrect
NE @ PIT,NE at -3.0,PIT wins by 0.04,PIT (at +1.5 or better),PIT,Correct
CIN @ SEA,CIN at -1.5,CIN wins by 3.77,CIN (at -2.5 or better),CIN,Correct
DAL @ PHI,PHI at -3.0,PHI wins by 0.48,DAL (at +2.0 or better),DAL,Incorrect
SD @ KC,SD at -3.0,KC wins by 1.08,Missing Something ...,,Correct
