Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2020,ARI,NYG,14,Sun,1:00PM,0,2.00%,-3.0,19,16.0
2020,ATL,LAC,14,Sun,4:25PM,0,-3.50%,1.5,-3,-1.5
2020,BAL,CLE,14,Mon,8:15PM,0,8.50%,-3.0,5,2.0
2020,BUF,PIT,14,Sun,8:20PM,1,16.70%,-2.0,11,9.0
2020,CAR,DEN,14,Sun,1:00PM,1,-1.30%,-4.0,-5,-9.0
2020,CHI,HOU,14,Sun,1:00PM,1,-4.40%,1.0,29,30.0
2020,CIN,DAL,14,Sun,1:00PM,1,-27.10%,3.0,-23,-20.0
2020,CLE,BAL,14,Mon,8:15PM,1,-3.00%,3.0,-5,-2.0
2020,DAL,CIN,14,Sun,1:00PM,0,-22.60%,-3.0,23,20.0
2020,DEN,CAR,14,Sun,1:00PM,0,-23.10%,4.0,5,9.0
2020,DET,GB,14,Sun,4:25PM,1,-15.80%,9.0,-7,2.0
2020,GB,DET,14,Sun,4:25PM,0,20.30%,-9.0,7,-2.0
2020,HOU,CHI,14,Sun,1:00PM,0,-5.90%,-1.0,-29,-30.0
2020,IND,LV,14,Sun,4:05PM,0,15.80%,-2.5,17,14.5
2020,JAX,TEN,14,Sun,1:00PM,1,-19.70%,7.5,-21,-13.5
2020,KC,MIA,14,Sun,1:00PM,0,28.20%,-7.0,6,-1.0
2020,LAC,ATL,14,Sun,4:25PM,1,-28.90%,-1.5,3,1.5
2020,LAR,NE,14,Thu,8:20PM,1,20.40%,-5.0,21,16.0
2020,LV,IND,14,Sun,4:05PM,1,-5.40%,2.5,-17,-14.5
2020,MIA,KC,14,Sun,1:00PM,1,15.10%,7.0,-6,1.0
2020,MIN,TB,14,Sun,1:00PM,0,-2.40%,7.0,-12,-5.0
2020,NE,LAR,14,Thu,8:20PM,0,-4.80%,5.0,-21,-16.0
2020,NO,PHI,14,Sun,4:25PM,0,38.20%,-7.5,-3,-10.5
2020,NYG,ARI,14,Sun,1:00PM,1,-8.60%,3.0,-19,-16.0
2020,NYJ,SEA,14,Sun,4:05PM,0,-32.90%,16.5,-37,-20.5
2020,PHI,NO,14,Sun,4:25PM,1,-15.60%,7.5,3,10.5
2020,PIT,BUF,14,Sun,8:20PM,0,27.10%,2.0,-11,-9.0
2020,SEA,NYJ,14,Sun,4:05PM,1,9.00%,-16.5,37,20.5
2020,SF,WAS,14,Sun,4:25PM,1,0.80%,-3.0,-8,-11.0
2020,TB,MIN,14,Sun,1:00PM,1,23.00%,-7.0,12,5.0
2020,TEN,JAX,14,Sun,1:00PM,0,4.60%,-7.5,21,13.5
2020,WAS,SF,14,Sun,4:25PM,0,0.00%,3.0,8,11.0
