Opening Spread,Team 1,Team 2,Game_Time,Betting Spread
-9.5 / +9.5,TEN,JAC,00:19 2nd,-7.5 / +7.5
-3.0 / +3.0,DAL,CIN,Halftime,-3.0 / +3.0
+4.0 / -4.0,DEN,CAR,00:36 2nd,+4.0 / -4.0
-7.5 / +7.5,KC,MIA,00:42 2nd,-7.0 / +7.0
-3.0 / +3.0,ARI,NYG,01:50 2nd,-3.0 / +3.0
-1.5 / +1.5,HOU,CHI,01:59 2nd,-1.0 / +1.0
+6.0 / -6.0,MIN,TB,00:35 2nd,+7.0 / -7.0
-2.5 / +2.5,IND,LV,4:05 PM ET,-2.5 / +2.5
+14.5 / -14.5,NYJ,SEA,4:05 PM ET,+16.5 / -16.5
-7.5 / +7.5,GB,DET,4:25 PM ET,-9.0 / +9.0
+1.0 / -1.0,ATL,LAC,4:25 PM ET,+1.5 / -1.5
-6.5 / +6.5,NO,PHI,4:25 PM ET,-7.5 / +7.5
+4.0 / -4.0,WAS,SF,4:25 PM ET,+3.0 / -3.0
-2.5 / +2.5,PIT,BUF,8:20 PM ET,+2.0 / -2.0
-2.5 / +2.5,BAL,CLE,8:15 PM ET,-3.0 / +3.0
+6.5 / -6.5,NE,LAR,Final,+5.0 / -5.0
