Game,Spread,EGO,Spread Target,Pick,Result
NYG @ CHI,CHI at -8.5,CHI wins by 11.53,CHI (at -10.0 or better),CHI,Incorrect
CIN @ BUF,CIN at -6.0,BUF wins by 0.46,Missing Something ...,,Correct
DET @ CLE,DET at -2.5,DET wins by 0.18,CLE (at +1.5 or better),CLE,Incorrect
GB @ BAL,GB at -2.0,GB wins by 1.41,Too Close To Call,,Push
OAK @ KC,KC at -7.5,KC wins by 10.14,KC (at -9.0 or better),KC,Correct
PHI @ TB,PHI at -3.0,TB wins by 1.65,Missing Something ...,,Incorrect
PIT @ NYJ,PIT at -1.5,NYJ wins by 3.53,Missing Something ...,,Incorrect
STL @ HOU,HOU at -9.0,HOU wins by 5.45,STL (at +7.0 or better),STL,Correct
CAR @ MIN,MIN at -2.5,CAR wins by 1.8,Missing Something ...,,Correct
JAC @ DEN,DEN at -26.5,DEN wins by 17.7,Missing Something ...,,Correct
TEN @ SEA,SEA at -11.5,SEA wins by 9.71,TEN (at +11.0 or better),TEN,Correct
ARI @ SF,SF at -10.5,SF wins by 7.2,ARI (at +8.5 or better),ARI,Incorrect
NO @ NE,NE at -2.5,NE wins by 0.64,NO (at +2.0 or better),NO,Incorrect
WAS @ DAL,DAL at -5.5,DAL wins by 3.92,WAS (at +5.0 or better),WAS,Incorrect
IND @ SD,Pick em Game,IND wins by 2.21,IND (at -1.0 or better),IND,Incorrect
