Game,Spread,EGO,Spread Target,Pick,Result
CHI @ DET,DET at -7.0,DET wins by 5.77,CHI (at +7.0 or better),CHI,Incorrect
PHI @ DAL,DAL at -3.5,DAL wins by 1.26,PHI (at +2.5 or better),PHI,Correct
SEA @ SF,SF at -1.5,SF wins by 0.5,Too Close To Call,,Correct
OAK @ STL,STL at -6.0,STL wins by 3.1,OAK (at +4.5 or better),OAK,Incorrect
CAR @ MIN,MIN at -2.5,MIN wins by 3.77,MIN (at -2.5 or better),MIN,Correct
CIN @ TB,CIN at -6.0,CIN wins by 4.34,TB (at +5.5 or better),TB,Correct
CLE @ BUF,BUF at -3.0,BUF wins by 5.28,BUF (at -4.0 or better),BUF,Correct
NO @ PIT,PIT at -3.5,PIT wins by 3.4,Too Close To Call,,Correct
SD @ BAL,BAL at -6.5,BAL wins by 7.18,Too Close To Call,,Incorrect
TEN @ HOU,HOU at -7.0,HOU wins by 4.83,TEN (at +6.0 or better),TEN,Incorrect
WAS @ IND,IND at -8.5,IND wins by 7.89,Too Close To Call,,Incorrect
NYG @ JAC,NYG at -3.0,JAC wins by 0.1,JAC (at +1.0 or better),JAC,Correct
ARI @ ATL,ARI at -1.5,ATL wins by 0.01,ATL (at +1.5 or better),ATL,Correct
NE @ GB,GB at -3.0,GB wins by 1.28,NE (at +2.5 or better),NE,Incorrect
DEN @ KC,Pick em Game,DEN wins by 2.41,DEN (at -1.0 or better),DEN,Correct
MIA @ NYJ,MIA at -7.0,MIA wins by 7.09,Too Close To Call,,Incorrect
