Game,Spread,EGO,Spread Target,Pick,Result
GB @ DAL,DAL at -6.5,DAL wins by 4.05,GB (at +5.5 or better),GB,Incorrect
ATL @ STL,STL at -3.0,ATL wins by 0.47,ATL (at +1.0 or better),ATL,Incorrect
SD @ KC,SD at -6.0,SD wins by 4.39,KC (at +5.5 or better),KC,Incorrect
BUF @ WAS,WAS at -6.5,WAS wins by 4.7,BUF (at +6.0 or better),BUF,Correct
HOU @ TEN,TEN at -3.5,TEN wins by 2.92,Too Close To Call,,Incorrect
JAC @ IND,IND at -7.0,IND wins by 5.54,JAC (at +7.0 or better),JAC,Correct
SEA @ PHI,PHI at -3.0,PHI wins by 0.7,SEA (at +2.0 or better),SEA,Correct
NYJ @ MIA,MIA at -1.0,MIA wins by 3.23,MIA (at -2.0 or better),MIA,Incorrect
SF @ CAR,CAR at -3.0,CAR wins by 4.4,CAR (at -3.0 or better),CAR,Correct
DET @ MIN,MIN at -4.5,MIN wins by 7.01,MIN (at -5.5 or better),MIN,Correct
DEN @ OAK,DEN at -3.0,DEN wins by 3.25,Too Close To Call,,Incorrect
CLE @ ARI,Pick em Game,CLE wins by 2.05,CLE (at -0.5 or better),CLE,Incorrect
NYG @ CHI,NYG at -1.0,NYG wins by 1.98,Too Close To Call,,Correct
TB @ NO,NO at -3.0,TB wins by 3.5,Missing Something ...,,Correct
CIN @ PIT,PIT at -7.0,PIT wins by 6.34,Too Close To Call,,Incorrect
NE @ BAL,NE at -18.5,NE wins by 15.17,BAL (at +16.5 or better),BAL,Correct
