Game,Spread,EGO,Spread Target,Pick,Result
PIT @ TEN,PIT at -6.5,PIT wins by 4.57,TEN (at +6.0 or better),TEN,Correct
KC @ TB,TB at -5.0,TB wins by 5.22,Too Close To Call,,Correct
STL @ MIA,MIA at -5.0,MIA wins by 6.52,MIA (at -5.0 or better),MIA,Incorrect
OAK @ ATL,ATL at -10.0,ATL wins by 12.46,ATL (at -11.0 or better),ATL,Incorrect
CIN @ CLE,CIN at -2.0,CLE wins by 0.15,CLE (at +1.0 or better),CLE,Correct
DAL @ BAL,BAL at -3.0,BAL wins by 6.64,BAL (at -5.5 or better),BAL,Incorrect
IND @ NYJ,NYJ at -3.0,NYJ wins by 2.16,Too Close To Call,,Incorrect
DET @ PHI,PHI at -3.5,PHI wins by 2.05,DET (at +3.5 or better),DET,Correct
NE @ SEA,NE at -4.0,NE wins by 2.07,SEA (at +3.5 or better),SEA,Correct
BUF @ ARI,ARI at -5.0,ARI wins by 4.96,Too Close To Call,,Correct
NYG @ SF,SF at -7.0,SF wins by 5.41,NYG (at +6.5 or better),NYG,Correct
MIN @ WAS,MIN at -2.0,MIN wins by 2.54,Too Close To Call,,Incorrect
GB @ HOU,HOU at -4.0,HOU wins by 2.29,GB (at +3.5 or better),GB,Correct
DEN @ SD,Pick em Game,DEN wins by 2.81,DEN (at -1.5 or better),DEN,Correct
