,Season,Week,Games,EGO Correct,EGO Wrong,EGO Accuracy,Picked Games,Picks Correct,Picks Wrong,Pick Accuracy,Season EGO Accuracy,Season Picks Accuracy
0,2020,7,14,7,7,50.0,7,4,3,57.14,50.0,57.14
1,2020,8,14,8,6,57.14,7,5,2,71.43,53.57,64.29
2,2020,9,14,9,5,64.29,6,3,3,50.0,57.14,60.0
3,2020,10,14,9,5,64.29,9,7,2,77.78,58.93,65.52
4,2020,11,14,12,2,85.71,6,5,1,83.33,64.29,68.57
5,2020,12,16,9,7,56.25,8,4,4,50.0,62.79,65.12
6,2020,13,15,9,6,60.0,6,3,3,50.0,62.38,63.27
