Game,Spread,EGO,Spread Target,Pick,Result
DAL @ STL,DAL at -8.0,DAL wins by 10.86,DAL (at -9.5 or better),DAL,Incorrect
TEN @ KC,TEN at -9.0,TEN wins by 12.8,TEN (at -11.5 or better),TEN,Correct
BAL @ MIA,MIA at -3.0,MIA wins by 0.19,BAL (at +1.5 or better),BAL,Correct
MIN @ CHI,CHI at -3.0,CHI wins by 4.05,CHI (at -3.0 or better),CHI,Correct
SD @ BUF,BUF at -1.0,SD wins by 1.92,SD (at +0.5 or better),SD,Incorrect
SF @ NYG,NYG at -10.0,NYG wins by 11.12,NYG (at -10.0 or better),NYG,Correct
NO @ CAR,CAR at -3.0,CAR wins by 0.55,NO (at +2.0 or better),NO,Incorrect
PIT @ CIN,PIT at -8.5,PIT wins by 6.53,CIN (at +8.0 or better),CIN,Incorrect
DET @ HOU,HOU at -11.5,HOU wins by 7.68,DET (at +9.0 or better),DET,Correct
IND @ GB,IND at -2.5,GB wins by 2.55,Missing Something ...,,Correct
NYJ @ OAK,NYJ at -3.0,NYJ wins by 3.63,Too Close To Call,,Incorrect
CLE @ WAS,WAS at -7.0,WAS wins by 8.29,WAS (at -7.0 or better),WAS,Incorrect
SEA @ TB,TB at -11.5,TB wins by 11.08,Too Close To Call,,Correct
DEN @ NE,NE at -3.0,DEN wins by 1.19,Missing Something ...,,Incorrect
