Game,Spread,EGO,Spread Target,Pick,Result
PIT @ CLE,CLE at -3.0,PIT wins by 0.21,PIT (at +1.0 or better),PIT,Incorrect
ATL @ CAR,CAR at -3.5,CAR wins by 6.37,CAR (at -5.0 or better),CAR,Incorrect
BUF @ MIA,BUF at -7.0,BUF wins by 6.49,Too Close To Call,,Incorrect
DAL @ DET,DAL at -7.5,DAL wins by 3.7,DET (at +5.0 or better),DET,Incorrect
DEN @ MIN,MIN at -10.0,MIN wins by 7.99,DEN (at +9.5 or better),DEN,Correct
HOU @ BAL,BAL at -4.0,BAL wins by 5.37,BAL (at -4.0 or better),BAL,Correct
JAX @ IND,IND at -2.5,IND wins by 2.09,Too Close To Call,,Incorrect
NO @ TB,NO at -5.0,NO wins by 3.34,TB (at +4.5 or better),TB,Incorrect
NYJ @ WAS,WAS at -1.0,WAS wins by 2.18,WAS (at -1.0 or better),WAS,Incorrect
ARI @ SF,SF at -10.0,SF wins by 11.39,SF (at -10.0 or better),SF,Push
CIN @ OAK,OAK at -13.0,OAK wins by 12.46,Too Close To Call,,Correct
NE @ PHI,NE at -4.5,NE wins by 3.72,Too Close To Call,,Incorrect
CHI @ LAR,LAR at -5.0,LAR wins by 2.9,CHI (at +4.0 or better),CHI,Incorrect
KC @ LAC,KC at -5.5,KC wins by 3.95,LAC (at +5.0 or better),LAC,Incorrect
