Game,Spread,EGO,Spread Target,Pick,Result
MIN @ ARI,ARI at -8.5,ARI wins by 7.13,MIN (at +8.5 or better),MIN,Correct
BUF @ PHI,PHI at -1.0,BUF wins by 0.45,BUF (at +1.0 or better),BUF,Incorrect
DET @ STL,DET at -3.5,DET wins by 0.88,STL (at +2.0 or better),STL,Correct
IND @ JAC,JAC at -1.5,JAC wins by 1.59,Too Close To Call,,Correct
NO @ TB,TB at -4.5,TB wins by 7.05,TB (at -6.0 or better),TB,Incorrect
PIT @ CIN,CIN at -2.5,CIN wins by 4.42,CIN (at -3.0 or better),CIN,Incorrect
SEA @ BAL,SEA at -11.0,SEA wins by 7.49,BAL (at +9.0 or better),BAL,Incorrect
SF @ CLE,CLE at -1.5,CLE wins by 3.73,CLE (at -2.5 or better),CLE,Correct
TEN @ NYJ,NYJ at -7.0,NYJ wins by 9.04,NYJ (at -7.5 or better),NYJ,Correct
WAS @ CHI,CHI at -3.5,CHI wins by 1.85,WAS (at +3.0 or better),WAS,Correct
ATL @ CAR,CAR at -7.5,CAR wins by 10.61,CAR (at -9.5 or better),CAR,Correct
SD @ KC,KC at -10.5,KC wins by 13.93,KC (at -12.5 or better),KC,Incorrect
OAK @ DEN,DEN at -6.5,DEN wins by 5.43,OAK (at +6.5 or better),OAK,Correct
DAL @ GB,GB at -6.5,GB wins by 6.0,Too Close To Call,,Incorrect
NE @ HOU,NE at -3.5,NE wins by 3.09,Too Close To Call,,Incorrect
NYG @ MIA,NYG at -1.0,MIA wins by 0.55,MIA (at +1.0 or better),MIA,Incorrect
