Game,Spread,EGO,Spread Target,Pick,Result
IND @ JAC,IND at -3.0,IND wins by 4.57,IND (at -3.5 or better),IND,Correct
CLE @ KC,KC at -3.0,KC wins by 1.23,CLE (at +2.5 or better),CLE,Correct
HOU @ STL,HOU at -14.0,HOU wins by 11.14,STL (at +12.5 or better),STL,Correct
ARI @ DET,ARI at -14.0,ARI wins by 14.28,Too Close To Call,,Incorrect
MIA @ TEN,TEN at -4.5,TEN wins by 1.37,MIA (at +2.5 or better),MIA,Correct
NE @ BUF,NE at -7.0,NE wins by 7.51,Too Close To Call,,Push
ATL @ NYJ,NYJ at -7.0,NYJ wins by 5.24,ATL (at +6.5 or better),ATL,Correct
CIN @ SD,SD at -7.0,SD wins by 4.88,CIN (at +6.0 or better),CIN,Correct
OAK @ DEN,DEN at -14.0,DEN wins by 12.91,OAK (at +14.0 or better),OAK,Correct
CHI @ BAL,BAL at -11.0,BAL wins by 12.71,BAL (at -11.5 or better),BAL,Correct
GB @ PIT,PIT at -2.5,GB wins by 1.41,GB (at +0.0 or better),GB,Correct
SF @ PHI,PHI at -7.5,PHI wins by 6.58,Too Close To Call,,Incorrect
TB @ SEA,SEA at -6.5,SEA wins by 3.49,TB (at +5.0 or better),TB,Correct
MIN @ CAR,MIN at -9.0,MIN wins by 2.63,Missing Something ...,,Correct
DAL @ NO,NO at -7.5,NO wins by 3.6,DAL (at +5.0 or better),DAL,Correct
NYG @ WAS,NYG at -3.0,WAS wins by 1.34,Missing Something ...,,Incorrect
